#Phase-2 Materials Map           
#i cr sl tb dcc spigot fiber fibcha subdet ieta iphi depth  
1192 61 2 u 0 0 17 2 HE 2 9 2 
1192 61 2 u 0 0 17 3 HE 2 9 3 
1192 61 2 u 0 0 17 4 HE 2 9 4 
1192 61 2 u 0 0 17 5 HE 2 9 5 
1192 61 2 u 0 0 18 0 HE 2 10 0 
1192 61 2 u 0 0 18 1 HE 2 10 1 
1192 61 2 u 0 0 18 2 HE 2 10 2 
1192 61 2 u 0 0 18 3 HE 2 10 3 
1192 61 2 u 0 0 18 4 HE 2 10 4 
1192 61 2 u 0 0 18 5 HE 2 10 5 
1192 61 2 u 0 0 19 0 HE 2 11 0 
1192 61 2 u 0 0 19 1 HE 2 11 1 
1192 61 2 u 0 0 19 2 HE 2 11 2 
1192 61 2 u 0 0 19 3 HE 2 11 3 
1192 61 2 u 0 0 19 4 HE 2 11 4 
1192 61 2 u 0 0 19 5 HE 2 11 5 
1192 61 2 u 0 0 20 0 HE 2 12 0 
1192 61 2 u 0 0 20 1 HE 2 12 1 
1192 61 2 u 0 0 20 2 HE 2 12 2 
1192 61 2 u 0 0 20 3 HE 2 12 3 
1192 61 2 u 0 0 20 4 HE 2 12 4 
1192 61 2 u 0 0 20 5 HE 2 12 5 
1192 61 2 u 0 0 21 0 HE 2 13 0 
1192 61 2 u 0 0 21 1 HE 2 13 1 
1192 61 2 u 0 0 21 2 HE 2 13 2 
1192 61 2 u 0 0 21 3 HE 2 13 3 
1192 61 2 u 0 0 21 4 HE 2 13 4 
1192 61 2 u 0 0 21 5 HE 2 13 5 
1192 61 2 u 0 0 22 0 HE 2 14 0 
1192 61 2 u 0 0 22 1 HE 2 14 1 
1192 61 2 u 0 0 22 2 HE 2 14 2 
1192 61 2 u 0 0 22 3 HE 2 14 3 
1192 61 2 u 0 0 22 4 HE 2 14 4 
1192 61 2 u 0 0 22 5 HE 2 14 5 
1192 61 2 u 0 0 23 0 HE 2 15 0 
1192 61 2 u 0 0 23 1 HE 2 15 1 
1192 61 2 u 0 0 23 2 HE 2 15 2 
1192 61 2 u 0 0 23 3 HE 2 15 3 
1192 61 2 u 0 0 23 4 HE 2 15 4 
1192 61 2 u 0 0 23 5 HE 2 15 5 
1192 61 3 u 0 0 0 0 HE 2 16 0 
1192 61 3 u 0 0 0 1 HE 2 16 1 
1192 61 3 u 0 0 0 2 HE 2 16 2 
1192 61 3 u 0 0 0 3 HE 2 16 3 
1192 61 3 u 0 0 0 4 HE 2 16 4 
1192 61 3 u 0 0 0 5 HE 2 16 5 
1192 61 3 u 0 0 1 0 HE 2 17 0 
1192 61 3 u 0 0 1 1 HE 2 17 1 
1192 61 3 u 0 0 1 2 HE 2 17 2 
1192 61 3 u 0 0 1 3 HE 2 17 3 
1192 61 3 u 0 0 1 4 HE 2 17 4 
1192 61 3 u 0 0 1 5 HE 2 17 5 
1192 61 3 u 0 0 2 0 HE 2 18 0 
